mean_chlorophyll,mean_dissolvedoxygen,mean_iron,mean_nitrate,mean_phosphate,mean_plankton,mean_salinity,mean_silicate,presence
-1.158583441,-0.225859552,-0.614892912,0.485896926,-0.321342219,-0.216109789,0.265362772,-0.342961917,1
-0.649830961,-0.225866947,-0.506091128,-0.097555374,0.572434195,-0.216109789,0.184064874,-0.384587396,1
-0.649830961,-0.225866947,-0.506091128,-0.097555374,0.572434195,-0.216109789,0.184064874,-0.384587396,1
-1.662377765,6.927148526,-1.863934947,3.557426713,0.548950264,9.657934348,-0.709811525,-2.397270391,1
1.062167473,-0.225866947,1.701446194,0.158015151,-2.616174108,-0.216109789,0.006360268,1.440737356,1
-1.528366593,2.436074287,-1.074048401,2.621780259,-0.615199492,1.525640909,-0.762822547,-1.646171239,1
-1.607391717,4.21700936,-1.554396294,3.122943541,0.121524758,3.806477147,-0.728710172,-2.104962836,1
-1.173629335,-0.091100556,0.424868809,1.977080496,-2.487777725,-0.164415589,-0.395711797,-0.589944004,1
-1.521209657,2.232094541,-1.025690001,2.605993521,-0.716887666,1.346233914,-0.714612156,-1.61440004,1
1.01303729,-0.225866947,1.80361381,0.206103401,-2.841140109,-0.216109789,-0.009990283,1.486515068,1
0.543836744,-0.225866947,1.944378932,0.470868869,-3.246451139,-0.216109789,-0.057634502,1.542626492,1
-0.586725898,-0.223108765,1.270719609,1.370503054,-2.993262503,-0.216183783,-0.200819216,0.572635951,1
0.543836744,-0.225866947,1.944378932,0.470868869,-3.246451139,-0.216109789,-0.057634502,1.542626492,1
0.999872296,-0.225866947,1.77466639,0.200509407,-2.780101205,-0.216109789,-0.00245667,1.485321952,1
-1.53752466,2.542378903,-1.1292086,2.743915113,-0.581379422,1.626301287,-0.742054571,-1.740787313,1
0.010389709,-0.225881736,1.882466656,0.801663255,-3.386845469,-0.216111737,-0.11618058,1.332857448,1
0.685241721,-0.225866947,1.917745658,0.395477394,-3.153773266,-0.216109789,-0.037506269,1.546890622,1
-1.658560444,7.932716543,-1.856988248,3.501200288,0.52914408,10.79529245,-0.691325512,-2.399805215,1
0.531446118,-0.225866947,1.94025211,0.474598664,-3.235745119,-0.216109789,-0.058564688,1.552360606,1
-1.607391717,4.21700936,-1.554396294,3.122943541,0.121524758,3.806477147,-0.728710172,-2.104962836,1
-1.173629335,-0.091100556,0.424868809,1.977080496,-2.487777725,-0.164415589,-0.395711797,-0.589944004,1
-1.521209657,2.232094541,-1.025690001,2.605993521,-0.716887666,1.346233914,-0.714612156,-1.61440004,1
1.01303729,-0.225866947,1.80361381,0.206103401,-2.841140109,-0.216109789,-0.009990283,1.486515068,1
0.543836744,-0.225866947,1.944378932,0.470868869,-3.246451139,-0.216109789,-0.057634502,1.542626492,1
0.999872296,-0.225866947,1.77466639,0.200509407,-2.780101205,-0.216109789,-0.00245667,1.485321952,1
1.01303729,-0.225866947,1.80361381,0.206103401,-2.841140109,-0.216109789,-0.009990283,1.486515068,1
0.543836744,-0.225866947,1.944378932,0.470868869,-3.246451139,-0.216109789,-0.057634502,1.542626492,1
0.999872296,-0.225866947,1.77466639,0.200509407,-2.780101205,-0.216109789,-0.00245667,1.485321952,1
-1.53752466,2.542378903,-1.1292086,2.743915113,-0.581379422,1.626301287,-0.742054571,-1.740787313,1
0.010389709,-0.225881736,1.882466656,0.801663255,-3.386845469,-0.216111737,-0.11618058,1.332857448,1
0.685241721,-0.225866947,1.917745658,0.395477394,-3.153773266,-0.216109789,-0.037506269,1.546890622,1
-1.658560444,7.932716543,-1.856988248,3.501200288,0.52914408,10.79529245,-0.691325512,-2.399805215,1
0.531446118,-0.225866947,1.94025211,0.474598664,-3.235745119,-0.216109789,-0.058564688,1.552360606,1
-0.586725898,-0.223108765,1.270719609,1.370503054,-2.993262503,-0.216183783,-0.200819216,0.572635951,1
0.543836744,-0.225866947,1.944378932,0.470868869,-3.246451139,-0.216109789,-0.057634502,1.542626492,1
0.999872296,-0.225866947,1.77466639,0.200509407,-2.780101205,-0.216109789,-0.00245667,1.485321952,1
